Unnamed: 0,NAME,USER_ID,HOURS_DATASCIENCE,HOURS_BACKEND,HOURS_FRONTEND,NUM_COURSES_BEGINNER_DATASCIENCE,NUM_COURSES_BEGINNER_BACKEND,NUM_COURSES_BEGINNER_FRONTEND,NUM_COURSES_ADVANCED_DATASCIENCE,NUM_COURSES_ADVANCED_BACKEND,NUM_COURSES_ADVANCED_FRONTEND,AVG_SCORE_DATASCIENCE,AVG_SCORE_BACKEND,AVG_SCORE_FRONTEND
0,Melody Gentry,39064009,84,30,0,4,6,3,3,7,6,51,74,37
1,Lera Mitchel,26414743,42,74,13,3,6,4,2,7,5,82,59,50
2,Dianne Ransdell,40811094,18,76,38,5,2,8,8,3,8,77,53,50
3,Michael Sellers,46199789,77,29,23,7,2,6,1,6,1,68,57,60
4,Evelyn Hilliard,95025845,35,14,39,0,5,3,2,8,3,63,82,91
5,Michael Hall,94689887,29,32,58,4,3,2,1,2,5,60,63,77
6,Ryan Payne,49183523,50,19,42,1,3,5,3,5,3,63,59,65
7,Ashley Lathan,8314320,36,37,71,4,0,6,5,3,1,38,71,55
8,Jonathan Daniels,85946492,40,17,66,2,2,7,2,6,4,64,50,48
9,Ricardo Gioia,38570924,56,14,35,4,3,2,0,4,1,81,63,81
10,Lea Adams,94879450,53,66,2,7,4,4,5,5,2,60,46,71
11,Betsy Holleran,43833617,11,50,22,3,7,6,0,5,3,86,64,51
12,Ora Diaz,45859240,57,69,24,3,4,4,1,3,1,69,51,42
13,Timothy Brewer,24185612,23,75,43,3,6,3,4,3,2,42,79,67
14,Elroy Jordan,35770777,22,23,44,5,5,6,3,0,3,54,66,75
15,Richard Hamilton,22977481,60,53,18,3,5,5,1,6,3,74,51,50
16,Georgia Repinski,39082216,17,48,45,2,6,3,3,5,3,57,76,51
17,Roberto Marmolejo,12435062,15,14,53,1,3,2,0,6,5,30,77,57
18,Viola Smith,13717734,83,10,26,1,4,4,1,4,2,54,58,59
19,Barbara Nelson,28081673,73,35,36,5,7,4,7,3,4,67,78,65
20,Patsy Greer,7852603,54,48,67,6,3,7,3,2,1,63,64,74
21,Antwan Stangl,36763399,30,26,85,1,1,4,7,5,1,46,74,48
22,Kimberly Washington,1370638,37,68,33,3,1,9,4,4,9,71,83,35
23,John Casillas,28356188,37,52,29,5,2,7,3,4,6,78,72,70
24,Jacqueline Brown,58312142,55,67,54,2,2,3,5,6,5,46,63,74
25,Chelsie Vanscyoc,72646677,82,44,67,4,8,5,4,6,3,51,35,53
26,Sharla Robert,36984537,73,22,0,5,1,3,5,2,3,83,67,71
27,Traci Anderson,99943822,88,102,31,7,2,2,1,5,4,54,76,79
29,Peggy Scales,43962046,71,40,40,5,6,4,5,7,2,45,72,58
30,Cindy Murillo,67088967,0,60,31,3,2,5,8,2,3,63,75,74
31,Joshua Beer,39510526,27,53,7,6,4,7,6,0,3,79,71,43
32,Karen Mandeville,34940930,27,47,17,4,3,4,1,7,2,91,55,56
33,John Vermeesch,91413447,0,70,43,7,4,11,3,4,10,74,58,69
34,Stacie Glidden,34766536,24,69,49,3,3,0,3,6,4,40,79,76
35,Steven Abramowitz,74699816,19,49,25,6,6,3,4,3,4,80,86,73
36,Aaron Koller,31863091,33,78,0,1,2,6,0,3,4,66,71,50
37,Sandra Cainne,57408831,32,61,3,2,4,4,2,5,1,85,64,63
38,Mignon Byron,32294112,20,50,17,1,1,2,4,4,4,67,81,72
39,Sandy Garcia,68947874,51,34,18,10,5,6,2,4,4,75,59,86
40,Sidney Darbonne,50912926,97,16,48,3,7,8,3,5,0,53,59,76
41,Corinne Brown,80625987,63,74,22,6,5,5,7,6,2,52,59,61
