,NAME,USER_ID,HOURS_DATASCIENCE,HOURS_BACKEND,HOURS_FRONTEND,NUM_COURSES_BEGINNER_DATASCIENCE,NUM_COURSES_BEGINNER_BACKEND,NUM_COURSES_BEGINNER_FRONTEND,NUM_COURSES_ADVANCED_DATASCIENCE,NUM_COURSES_ADVANCED_BACKEND,NUM_COURSES_ADVANCED_FRONTEND,AVG_SCORE_DATASCIENCE,AVG_SCORE_BACKEND,AVG_SCORE_FRONTEND,Profile
28,Stormy Muto,58283940,7,39,29,2,4,0,2,5,0,84,74,,0
81,Carlos Ferro,1357218,32,0,44,2,0,0,0,5,0,67,45,,0
89,Robby Constantini,63212105,45,0,59,0,5,4,0,4,1,,54,47,2
138,Paul Mckenny,23239851,36,19,28,0,5,7,0,5,3,,71,89,4
143,Jean Webb,72234478,61,78,38,6,11,0,4,3,0,66,85,,2
169,Emily Rushton,9116044,24,69,68,3,7,0,4,5,0,66,75,,2
179,Rosaria Copeland,59316838,54,52,12,4,3,0,5,9,0,87,51,,1
223,Curtis Rocha,49603646,0,42,13,0,5,5,0,5,3,,74,67,1
346,Billy Phagan,34468193,40,20,34,0,5,2,0,7,0,,53,65,0
401,Lynn Diaz,29372594,27,117,2,0,4,0,0,7,4,,40,3,0
439,Danny Wilkinson,69211796,51,38,27,0,4,0,0,5,2,,38,41,0
511,Marc Ferris,34028847,39,52,34,2,4,4,1,5,5,69,65,73,1
512,Monique Vaughn,87147288,28,44,16,3,2,5,0,4,4,41,40,76,4
513,Laurie Ropers,28065441,74,36,41,2,5,2,3,4,2,52,77,66,2
514,Roberto Russell,13095342,69,40,18,4,3,5,4,7,6,40,82,78,5
515,Laura Tofil,81228144,46,102,44,7,9,3,5,3,3,69,94,50,2
516,Angela Boner,72893547,54,71,47,2,4,3,2,5,5,70,88,86,1
517,Ursula Kuehnert,34472788,68,54,29,4,8,5,6,4,3,64,69,50,2
518,John Shear,41667523,18,48,10,2,4,5,3,7,0,82,75,57,1
519,John Tharp,83004498,47,46,53,3,5,3,4,3,1,66,60,51,0
520,Alberto Cruz,29764891,65,27,27,1,7,5,4,6,4,63,55,62,0
521,Lance Rochester,19728116,49,44,85,2,3,5,6,4,2,45,89,61,4
522,David Jared,36738892,34,68,43,7,3,6,3,6,0,51,58,63,5
523,Marcus Pettit,46839787,36,0,63,2,0,2,0,7,5,36,72,65,2
524,Mary Armand,55261852,0,13,13,2,5,2,3,3,5,84,60,61,1
525,Concepcion Vorhies,5144540,37,57,28,5,3,5,4,1,4,80,70,70,3
526,Charles Redman,21092358,49,51,31,5,2,5,3,7,3,59,65,72,1
527,Juan Mitchell,84443850,19,43,25,2,3,5,2,3,6,70,83,61,1
528,Joan Laird,99006866,85,8,30,7,4,7,1,3,2,39,84,71,5
529,Jamel Stewart,40005419,69,82,23,5,3,2,3,6,1,70,73,61,1
530,Cheryl Minor,57558318,57,68,7,8,2,8,2,4,2,67,63,83,5
531,John Bell,78525239,16,60,54,4,2,4,7,6,7,60,70,79,3
532,Stephen Bruno,40816958,76,0,24,5,6,5,3,3,3,63,55,65,0
533,Edward Lilley,10893158,15,60,71,3,6,1,2,5,1,72,69,57,2
534,Sharon Mosier,34313624,42,42,76,6,3,4,6,1,4,75,59,45,4
535,Albert Taft,17119385,90,31,73,4,6,8,3,7,0,47,40,62,0
536,Terrence Nieves,1415906,41,25,26,2,5,1,2,4,4,41,80,72,2
537,Ronald Edwards,50796625,29,60,23,3,5,3,3,5,1,89,80,69,1
538,Brian Hensley,47525720,13,64,0,6,3,5,0,4,1,68,50,65,5
539,Jimmy Whicker,90085135,48,90,41,5,2,5,1,4,3,83,41,95,5
540,Robert Edwards,71437699,32,64,50,4,0,8,4,0,10,100,,76,3
541,Melanie Pulliam,10811603,12,25,41,6,5,9,2,2,3,89,90,81,4
542,Joyce Griffin,32166875,15,54,36,5,3,7,5,5,4,63,75,62,3
543,Don Tripp,20686952,47,46,96,4,1,4,1,0,5,50,68,67,4
544,Joe Martin,25603651,20,37,45,4,6,3,6,7,8,86,59,59,0
545,Margaret Violet,25189657,44,36,37,4,5,3,3,5,2,70,64,59,0
546,Delores Morgan,69945656,17,39,14,5,3,5,6,4,5,68,80,61,3
547,Theresa Tello,51487356,57,3,53,4,3,7,3,6,2,65,51,78,0
548,Michelle Staggs,6679474,92,64,70,2,4,4,2,7,2,58,88,92,4
549,William Harlow,92892886,29,79,39,5,4,6,5,1,3,67,60,67,3
550,Harland Gabe,44923822,82,70,21,8,11,2,7,1,7,66,79,42,0
551,Shirley Southwick,33038016,22,38,50,4,4,3,1,6,4,51,91,53,2
552,Martin Erickson,12800691,62,62,14,5,8,4,5,5,6,75,70,52,0
553,Patricia Harris,63409227,58,55,42,1,8,3,6,2,0,95,54,74,2
554,Maria Wittner,7927168,50,42,91,4,4,8,3,3,1,56,69,56,4
555,Lucille Munsey,68015947,22,29,42,1,3,6,5,4,3,68,77,67,4
556,Roger Palmer,38626155,43,60,27,7,3,4,3,3,0,74,60,82,5
557,Anita Silkenson,18841597,4,75,52,3,3,4,6,1,1,57,74,80,3
558,Toni Sawyer,64613675,65,39,47,4,5,4,2,3,2,67,70,52,2
559,Rosemarie Turner,14022506,30,0,23,4,4,2,5,7,4,85,88,81,0
560,Kelsey Wegner,58779700,52,73,16,4,2,0,4,5,2,67,61,68,1
561,Patricia Schechter,38431395,45,57,38,6,8,2,3,9,6,77,63,49,0
562,Patricia Mcrae,197787,72,26,62,2,3,6,3,4,6,40,62,67,5
563,Kristine Pugh,9121922,55,80,42,1,4,4,7,11,5,50,64,57,5
564,Helen Keeney,64043525,44,90,0,4,1,3,3,0,6,65,77,58,1
